window,symbol,sentiment_index,total_engagement,avg_confidence,message_count
"{\"start\":\"2026-04-08T16:20:00.000+05:30\",\"end\":\"2026-04-08T16:25:00.000+05:30\"}",BTC,-7.990043342113495,13,0.614618718624115,1
"{\"start\":\"2026-04-07T18:50:00.000+05:30\",\"end\":\"2026-04-07T18:55:00.000+05:30\"}",BTC,25.877870500087738,27,0.9584396481513977,1
"{\"start\":\"2026-04-08T08:25:00.000+05:30\",\"end\":\"2026-04-08T08:30:00.000+05:30\"}",BTC,14.1033536195755,15,0.9402235746383667,1
"{\"start\":\"2026-04-08T14:00:00.000+05:30\",\"end\":\"2026-04-08T14:05:00.000+05:30\"}",BTC,22.237645626068115,24,0.9265685677528381,1
"{\"start\":\"2026-04-08T16:55:00.000+05:30\",\"end\":\"2026-04-08T17:00:00.000+05:30\"}",BTC,0.4674502398286547,51,0.9301762878894806,14
"{\"start\":\"2026-04-07T21:45:00.000+05:30\",\"end\":\"2026-04-07T21:50:00.000+05:30\"}",BTC,29.69745635986328,32,0.9280455112457275,1
"{\"start\":\"2026-04-08T14:30:00.000+05:30\",\"end\":\"2026-04-08T14:35:00.000+05:30\"}",BTC,9.183946460485458,27,0.9610870480537415,2
"{\"start\":\"2026-04-08T07:10:00.000+05:30\",\"end\":\"2026-04-08T07:15:00.000+05:30\"}",BTC,-4.899589121341705,5,0.9799178242683411,1
"{\"start\":\"2026-04-08T14:45:00.000+05:30\",\"end\":\"2026-04-08T14:50:00.000+05:30\"}",BTC,-3.8997952938079834,4,0.9749488234519958,1
"{\"start\":\"2026-04-08T04:25:00.000+05:30\",\"end\":\"2026-04-08T04:30:00.000+05:30\"}",BTC,27.775018572807312,29,0.9577592611312866,1
"{\"start\":\"2026-04-07T22:35:00.000+05:30\",\"end\":\"2026-04-07T22:40:00.000+05:30\"}",BTC,20.379875600337982,25,0.8151950240135193,1
"{\"start\":\"2026-04-07T19:55:00.000+05:30\",\"end\":\"2026-04-07T20:00:00.000+05:30\"}",BTC,37.42427569627762,39,0.9595968127250671,1
"{\"start\":\"2026-04-08T04:20:00.000+05:30\",\"end\":\"2026-04-08T04:25:00.000+05:30\"}",BTC,3.07702374458313,4,0.7692559361457825,1
"{\"start\":\"2026-04-08T03:05:00.000+05:30\",\"end\":\"2026-04-08T03:10:00.000+05:30\"}",BTC,4.770669639110565,5,0.954133927822113,1
"{\"start\":\"2026-04-07T19:35:00.000+05:30\",\"end\":\"2026-04-07T19:40:00.000+05:30\"}",BTC,40.35715198516846,42,0.9608845710754395,1
